6700	7397	3
7	651	35
22454	4637	13
121	1436	8
125	6585	2
209	8154	1
2280	7098	13
26839	790	5
21733	6361	0
108	3035	14
11797	9434	7
1582	1812	3
5155	3758	3
16475	8601	2
462	3836	16
24625	8594	12
116	5067	4
25358	1199	8
2038	3336	5
102	2275	7
108	9139	4
25508	9006	3
33017	8858	0
31885	558	6
105	7145	6
11101	6199	3
8877	3312	14
148	2562	16
1812	1719	4
7233	2355	0
1571	6632	8
6531	4559	2
1129	8745	4
233	2005	11
141	8025	8
4209	9477	9
12	934	4
2	4956	0
22427	2964	4
249	2489	5
1828	1986	15
139	5113	1
1585	9920	4
194	4025	6
3913	6306	5
2013	2702	5
1001	5263	16
523	1569	14
2786	8685	5
322	5890	0
2989	1392	3
1074	1441	10
1779	1905	15
9919	23	13
291	4910	13
644	6516	4
102	8131	19
1371	910	4
32576	5735	11
1239	5994	9
122	8796	11
133	6639	1
4759	8876	0
102	225	10
5437	1180	1
735	8590	14
8079	19	3
12	6502	7
130	5769	31
888	5028	7
107	3803	4
31665	8900	9
152	950	1
253	5635	8
195	9872	6
262	7252	1
184	7980	0
2366	8924	17
924	6001	4
1743	5219	1
101	2689	5
116	9124	13
7	1303	2
1103	6661	6
148	1217	15
5855	3112	6
353	6522	1
2701	5984	0
101	4878	20
2216	7694	1
278	4272	1
470	6345	1
281	855	3
22769	9839	25
180	9685	4
8475	8662	20
7	8756	5
180	7926	6
1032	808	5
1601	7904	2
10270	9044	19
11103	6887	10
19876	8642	16
6646	9126	6
240	9293	6
497	2325	7
1439	3368	22
863	5441	13
744	5370	12
130	2348	4
130	4993	9
7	606	2
121	2335	21
4105	3517	3
7105	7924	13
837	5288	4
2206	5268	4
2501	1409	4
2900	6225	1
6233	8811	11
104	1384	5
997	6201	4
2171	2780	3
158	9918	17
1477	5835	1
105	7598	2
32390	9332	32
21470	6133	10
160	8470	6
169	2668	25
13631	6134	16
9541	9152	7
101	4398	13
2366	3930	0
239	1581	4
105	2021	2
248	7038	2
9	8403	3
103	9130	3
866	6390	7
28396	980	1
132	6600	8
9	5307	12
3713	1994	13
9	7807	21
12858	1803	8
145	3848	0
1720	2450	3
4724	6044	30
1623	7757	1
211	2845	16
4770	5778	6
17158	5336	3
24544	8911	2
772	7867	18
180	3548	1
26104	3179	1
911	588	0
4793	9669	5
2	8466	4
7	7743	8
104	8456	17
7	2173	2
23699	7929	4
7850	2275	5
1912	260	6
502	8055	11
29172	525	3
390	7188	20
25726	9240	11
239	6253	3
119	2131	10
21043	4619	2
109	759	1
106	6757	9
19603	4843	2
268	427	4
121	2203	6
653	4579	11
8328	9801	5
498	5053	3
187	8609	4
110	1008	13
1049	3256	12
10881	8676	5
608	3907	16
128	5509	2
4424	6254	0
1036	8641	2
170	2799	6
131	3502	6
264	4598	13
163	184	15
29553	911	2
14239	3891	7
16	3539	4
101	2252	18
125	2707	5
4266	7851	12
9	5557	8
334	2449	3
4953	5276	9
140	5590	2
257	8140	3
176	7903	8
1147	6767	2
26551	6206	2
1417	968	8
18222	4257	37
101	7375	14
101	3395	6
1486	402	0
4702	6190	1
105	7048	9
25790	8487	4
6095	1715	3
695	75	4
3015	7662	9
6439	6935	1
25429	2807	12
1736	9365	2
732	9292	18
104	8014	11
114	5610	0
4424	1156	9
101	6598	12
3388	9982	10
11608	5747	5
767	7821	0
29774	3401	4
4013	8895	1
115	6696	8
2	3225	0
2990	2045	4
7614	7725	8
7461	6782	3
213	3370	0
17350	2668	23
162	6321	11
24732	2873	6
122	4671	3
983	333	2
214	1931	11
23465	171	16
1396	1910	1
102	2977	0
227	8515	2
12087	4652	16
844	6328	0
103	3906	13
1466	6615	17
2937	9684	6
206	5010	2
12301	8020	7
107	1749	8
12521	7864	12
9203	1939	13
16173	4435	12
883	3318	0
113	8545	11
165	5150	17
2	6648	2
2610	4274	17
12	547	3
11036	1069	4
102	2406	0
3074	8578	6
21126	8526	28
860	7524	9
105	6764	1
183	4546	4
437	3944	7
3173	7446	11
1597	9688	9
466	2821	3
108	2224	15
145	3752	0
101	965	5
23837	7148	0
1190	9506	1
2198	2093	5
3551	8999	11
360	1020	12
289	2490	9
1556	6484	16
618	1665	15
1241	4423	4
12	8515	10
12	9869	8
116	877	27
1503	2928	25
1003	750	6
791	8442	6
105	5229	0
842	1274	22
211	6738	18
438	6189	1
406	3990	5
154	2462	7
1020	5253	8
541	3159	8
227	9892	6
5947	6932	8
4022	4429	1
31250	649	5
102	4736	21
31434	3186	4
132	133	7
203	7434	0
106	586	24
1290	262	0
622	7661	5
24887	8921	21
103	1546	12
2758	3332	2
8	8470	17
27705	9249	5
101	1164	5
107	9522	3
1503	6489	15
2022	582	3
964	8047	12
106	716	14
717	1982	10
888	6881	19
12	7465	8
198	6859	17
1632	4989	1
12517	3073	16
187	9480	6
153	29	16
106	7179	11
21821	4121	6
112	3559	17
295	3168	6
6217	2282	12
915	4503	2
3308	2314	11
250	1323	1
951	2949	4
401	6874	20
2834	9356	2
215	7341	14
1397	8536	24
30223	3035	9
3851	3793	5
124	8496	5
194	8250	9
262	5072	7
180	2301	17
1034	4359	0
1608	211	2
914	8689	3
103	9292	19
1210	1946	3
168	2925	6
1425	9396	6
12	6669	6
18418	7876	2
499	3583	10
5668	8233	9
17896	121	10
242	9781	25
251	70	5
7083	3874	6
831	917	2
978	420	1
1018	6701	2
1428	2971	11
12356	9239	9
103	8964	7
8363	5943	0
3647	4373	6
126	6875	11
2	5879	7
6519	6126	7
113	8385	11
769	8789	8
342	1221	5
708	7520	8
8	651	43
163	4670	9
116	7937	4
125	5136	8
132	4103	11
263	6162	6
2762	9097	1
101	488	9
107	3383	7
101	8865	6
27625	8375	0
101	2062	12
235	5802	9
9722	2827	2
527	6822	1
102	2561	0
2429	7180	13
255	9762	19
2	7925	10
103	6916	13
166	4754	3
4079	3970	13
2480	9528	5
151	3506	9
21000	5545	4
7	5552	9
4168	8812	7
282	2685	10
2433	2220	8
28692	8375	4
3092	6445	0
12	7361	1
7675	1203	9
2562	8673	14
177	5616	2
108	8723	4
16945	4599	3
2649	9372	7
1277	611	7
226	5638	10
2764	8179	12
127	1762	5
107	8823	2
1656	7428	3
1004	65	1
2216	4687	2
221	8097	6
119	5496	12
9574	7923	0
132	4321	6
9795	3787	14
128	4519	3
104	4129	21
394	6095	19
6882	1026	0
9540	6799	8
2366	9111	9
5595	1802	24
2085	527	0
223	4130	7
101	7724	29
2427	9170	10
157	53	10
12	869	14
968	7733	14
156	6999	7
113	2925	16
204	8299	15
6824	8193	2
757	978	5
153	4060	10
603	3468	4
13795	5227	7
26653	6623	8
30043	4601	5
126	1886	9
12	3041	21
1218	2219	0
123	763	1
1729	12	6
102	7202	5
830	4415	11
6400	5336	1
1037	5742	6
2153	1247	14
12	868	26
3266	281	8
30496	4409	2
5682	5861	5
251	9255	5
12	6113	16
207	5425	5
1422	2634	3
130	9005	10
6231	3948	11
2276	481	3
773	5914	13
716	5395	12
144	7017	9
23980	2752	2
123	8726	4
1454	5534	4
16719	1004	6
115	9421	3
530	5847	3
180	7447	16
396	7373	2
1687	5814	10
142	752	5
260	3854	45
31029	2191	1
107	2229	6
240	5480	3
385	1535	11
1631	6589	5
3105	3897	3
879	7072	19
729	9385	5
11277	6360	4
6803	7931	20
1475	4330	13
1208	6717	1
2701	5065	2
2389	2491	8
1262	2722	2
1061	8230	5
106	8994	26
9543	7269	18
138	9365	7
10406	533	15
1836	8856	10
2611	695	8
101	9216	15
9	3596	43
1988	3620	9
14398	7897	4
250	1440	2
13993	8072	10
861	7010	12
6066	1258	7
184	8225	2
249	8923	1
5653	9383	3
1920	314	0
11778	4839	17
5481	6615	1
1698	3244	12
127	1544	9
244	6585	10
113	1547	17
26818	4148	3
2589	9716	29
385	6171	6
3339	3967	3
257	3279	2
143	4386	14
405	8982	12
475	7073	7
330	9829	32
178	8470	7
13814	5270	1
109	7809	27
141	8876	8
14820	6152	4
872	9972	4
15768	8580	5
220	8081	2
120	3245	13
15351	7455	13
6846	5814	12
1874	9744	9
382	9143	2
1645	9819	6
2897	7330	14
524	8476	17
631	2767	15
3314	6934	5
107	5509	17
