189	169	3	11.01
710	333	3	27.76
12	1101	3	7.11
568	110	5	24.27
457	6463	3	48.59
579	377	3	27.36
1241	272	5	54.9
2707	134	3	26.81
1370	134	3	21.39
1384	109	8	61.3
2343	119	5	45.69
280	116	4	13.83
161	7	6	8.82
141	259	3	11.6
387	223	5	39.4
121	782	3	15.75
123	1488	3	20.62
4092	473	3	44.24
561	378	8	90.3
208	585	3	22.2
434	104	16	89.27
807	104	5	21.53
185	172	3	11.09
395	118	7	38.74
2283	101	4	17.12
2900	101	4	19.82
286	169	5	30.27
151	126	7	22.4
847	127	4	26.56
8	1013	5	26.82
160	131	7	24.13
102	484	4	10.03
715	12	5	12.87
114	2233	4	31.87
643	129	4	24.13
156	138	3	6.25
3845	108	3	23.1
240	560	3	23.2
216	181	3	13.41
1689	101	4	14.37
297	112	6	25.28
12	334	6	9.64
577	327	3	26.54
3331	109	4	33.34
12	1555	5	20.77
493	656	4	41.97
539	215	8	75.64
473	242	5	42.59
566	115	3	13.24
1577	684	4	52.3
216	372	6	48.79
1318	8	3	14.61
399	619	7	78.79
974	223	6	61.34
357	141	7	45.89
3020	164	3	31.09
105	133	8	6.15
184	3345	3	32.69
108	1364	5	30.73
12	438	20	92.66
124	260	20	145.12
105	285	4	8.29
2383	256	3	33.67
186	102	5	3.96
643	483	3	29.2
576	626	4	42.85
1920	109	7	57.32
773	120	3	15.44
110	182	8	22.84
2817	14	3	31.97
175	3541	4	48.31
404	852	4	42.71
454	136	3	15.43
147	185	7	34.05
108	175	4	4.09
1012	123	5	36.12
125	121	10	24.11
7	146	21	73.32
2305	109	4	28.65
694	108	6	30.84
650	215	3	23.05
139	371	3	14.52
193	1297	4	37.9
123	680	4	23.69
102	963	3	9.87
287	418	7	67.58
729	164	3	20.63
1968	1968	5	84.18
4238	12	3	18.18
160	116	4	6.62
1743	109	7	55.45
386	102	3	5.03
117	533	3	13.03
259	1858	3	31.44
1862	104	7	49.66
2885	109	5	42.84
438	395	10	114.19
235	6349	3	43.32
167	120	3	4.58
1858	12	3	10.11
797	187	7	67.13
408	338	6	58.6
2603	12	3	13.26
154	105	15	36.42
753	103	8	40.88
310	153	7	46.67
2408	112	5	43.56
438	261	5	43.13
102	336	6	16.03
1821	202	3	28.83
136	273	3	11.84
119	169	29	170.15
109	216	5	11.69
178	130	8	33.09
212	7	4	6.71
449	12	7	16.6
131	154	8	28.48
256	149	4	19.19
1339	120	3	18.95
135	813	4	27.2
9	179	5	6.89
660	870	3	32.9
955	101	5	14.32
12	666	13	58.97
134	114	8	16.41
134	289	3	11.98
2484	580	3	39.33
215	106	28	144.12
252	218	4	24.62
363	112	5	21.81
390	122	6	33.81
1053	108	3	13.45
275	115	3	8.52
3916	103	3	20.53
2289	108	4	27.45
176	1857	4	39
701	12	6	17.2
428	110	7	35.15
101	638	4	6.8
101	706	4	7.52
102	1424	3	12.08
309	1434	5	59.07
315	2273	3	34.93
123	1241	3	19.73
110	759	4	19.79
506	148	31	363.98
101	281	6	5.88
5116	101	3	21.92
1130	1250	4	54.25
556	120	5	27.98
1787	3404	3	50.59
183	398	4	27.37
688	317	7	77.5
242	110	8	30.16
1206	12	5	17.69
898	127	3	18.35
3971	109	3	24
2098	2196	4	66.58
3341	109	3	22.43
999	8	4	19.49
2032	148	3	26.15
7	337	3	7.41
123	681	5	32.01
8	447	5	18.74
12	241	35	143.01
203	260	3	16.17
206	542	4	31.04
124	593	3	15.47
1182	110	5	31.88
110	350	10	53.89
157	525	3	17.87
162	16	5	25.57
108	102	36	34.17
315	225	3	19.11
483	165	5	35.88
299	2006	3	33.68
121	471	16	126.79
454	106	5	17.93
128	207	4	13.26
128	157	3	5.31
239	148	4	18.27
483	154	3	17.32
196	110	13	52.77
1112	110	4	22.96
301	103	18	87.76
101	436	27	139.62
2597	258	3	34.77
243	2392	5	62.48
1065	110	3	15
514	154	4	26.12
135	260	5	23.39
1405	131	3	21.5
118	151	8	22.29
548	132	4	23.33
873	123	7	53.8
667	106	4	15.53
314	104	3	4.78
716	272	6	61.21
150	229	15	106.83
5511	9	3	29.49
327	946	3	29.6
361	212	4	28.55
101	185	9	5.51
101	117	46	51.95
927	1828	3	40.09
2409	494	3	38.47
144	410	3	15.62
4546	119	3	29.25
1219	101	3	7.16
862	2715	3	42.84
1566	103	5	28.21
255	193	3	15.57
109	556	5	22.85
732	110	4	19.47
102	1587	5	26.8
4001	712	3	46.64
2040	1917	4	63.43
215	149	4	16.95
117	108	15	20.79
102	239	17	62.14
706	582	3	30.86
373	102	3	4.83
1700	308	3	32.8
256	106	5	11.27
175	464	4	27.19
467	223	7	62.69
269	101	8	10.22
405	269	3	22.36
123	193	4	11.53
3114	108	6	59.63
9	14	7	15.85
102	493	13	65.27
243	2	4	9.09
231	131	3	9.36
110	977	4	22.03
109	105	87	292.14
774	103	3	9.11
2801	291	5	67.81
188	318	3	17.48
2465	191	4	44.13
1022	7	3	13.64
131	165	12	56.29
124	543	5	30.2
190	198	8	50.22
650	118	4	21.36
308	106	20	115.68
523	112	6	32.43
113	2610	3	23.44
1314	126	3	20.76
210	136	3	9.46
136	869	3	19.15
129	429	13	102.56
153	232	4	17.93
1364	120	3	18.95
142	113	9	22.02
713	9	3	10.79
2075	1014	4	57.83
183	165	8	43.97
1502	4025	3	51.66
121	254	35	282.53
2132	153	5	51.87
109	926	3	13.7
412	245	12	123.55
8	1383	3	14.61
110	153	11	30.22
1476	112	3	18.01
110	211	4	8.27
1079	101	4	10.89
731	575	4	44.04
2012	101	10	73.08
1078	108	3	13.79
1541	12	3	9.05
101	295	16	45.96
117	3164	6	66.9
580	244	19	234.14
1508	12	5	20.77
328	136	3	13.7
150	126	103	950.53
820	110	6	36.03
186	129	8	34.65
105	264	3	4.07
790	112	4	21.49
482	225	3	21.59
233	265	4	25.87
333	7	5	16.99
923	118	3	16.45
513	106	9	45.27
787	198	3	23.36
492	492	4	39.74
2466	108	4	28.71
9	452	4	13.47
12	1746	6	28.92
280	104	6	14.61
101	942	6	19.5
711	119	8	56.69
270	334	3	21.47
807	116	3	15.38
121	2356	3	23.39
123	1608	7	64.07
553	3159	5	77.79
165	122	4	8.97
103	389	4	9.7
165	224	6	33.19
243	12	8	9.91
1855	108	3	17.02
1618	136	3	23.42
102	560	3	6.67
185	188	6	32.7
384	101	6	9.87
1432	101	6	25.14
